id;test_question;expected_faq_id;expected_faq_question;paraphrase_type;notes
55;Apa ada blacklist kalau sering telat balikin?;FAQ_05;FAQ question placeholder;generated paraphrase;
56;Cara memperpanjang peminjaman lewat website gimana?;FAQ_06;FAQ question placeholder;generated paraphrase;
57;Bisakah pinjaman diperpanjang via aplikasi mobile?;FAQ_06;FAQ question placeholder;generated paraphrase;
58;Kalau mau perpanjang pinjam, apa harus datang langsung?;FAQ_06;FAQ question placeholder;generated paraphrase;
59;Apakah semua buku bisa diperpanjang peminjamannya?;FAQ_06;FAQ question placeholder;generated paraphrase;
60;Ada batasan jumlah perpanjangan peminjaman gak?;FAQ_06;FAQ question placeholder;generated paraphrase;
61;Kalau buku pinjaman rusak, apa yang harus dilakukan?;FAQ_07;FAQ question placeholder;generated paraphrase;
62;Apakah ganti rugi berlaku juga untuk buku rusak ringan?;FAQ_07;FAQ question placeholder;generated paraphrase;
63;Kalau buku hilang, apakah harus beli pengganti?;FAQ_07;FAQ question placeholder;generated paraphrase;
64;Apa prosedur ganti rugi untuk buku hilang?;FAQ_07;FAQ question placeholder;generated paraphrase;
65;Kalau buku basah apakah dihitung rusak?;FAQ_07;FAQ question placeholder;generated paraphrase;
66;Bagaimana akses jurnal online dari rumah?;FAQ_08;FAQ question placeholder;generated paraphrase;
67;Apakah bisa buka e-resources tanpa jaringan kampus?;FAQ_08;FAQ question placeholder;generated paraphrase;
68;Login ke portal jurnal dari luar kampus gimana?;FAQ_08;FAQ question placeholder;generated paraphrase;
69;Cara akses database e-journal menggunakan akun mahasiswa?;FAQ_08;FAQ question placeholder;generated paraphrase;
70;Apakah tersedia akses ke e-book internasional?;FAQ_08;FAQ question placeholder;generated paraphrase;
71;Langkah-langkah menggunakan OPAC apa saja?;FAQ_09;FAQ question placeholder;generated paraphrase;
72;Cara mencari buku lewat katalog online gimana?;FAQ_09;FAQ question placeholder;generated paraphrase;
73;Tutorial penggunaan OPAC ada?;FAQ_09;FAQ question placeholder;generated paraphrase;
74;Bagaimana filter hasil pencarian di OPAC?;FAQ_09;FAQ question placeholder;generated paraphrase;
75;Apakah OPAC bisa diakses lewat HP?;FAQ_09;FAQ question placeholder;generated paraphrase;
76;Alamat lengkap perpustakaan pusat ada di mana?;FAQ_10;FAQ question placeholder;generated paraphrase;
77;Gedung perpustakaan letaknya dekat fakultas apa?;FAQ_10;FAQ question placeholder;generated paraphrase;
78;Perpustakaan pusat ada di lantai berapa?;FAQ_10;FAQ question placeholder;generated paraphrase;
79;Apakah ada cabang perpustakaan di luar kampus utama?;FAQ_10;FAQ question placeholder;generated paraphrase;
80;Bagaimana menuju perpustakaan dengan transportasi umum?;FAQ_10;FAQ question placeholder;generated paraphrase;
81;Nomor telepon bagian layanan perpustakaan berapa?;FAQ_11;FAQ question placeholder;generated paraphrase;
82;Alamat email resmi perpustakaan apa?;FAQ_11;FAQ question placeholder;generated paraphrase;
83;Ada kontak WhatsApp perpustakaan?;FAQ_11;FAQ question placeholder;generated paraphrase;
84;Siapa yang bisa dihubungi untuk informasi perpustakaan?;FAQ_11;FAQ question placeholder;generated paraphrase;
85;Bagaimana cara menghubungi helpdesk perpustakaan?;FAQ_11;FAQ question placeholder;generated paraphrase;
86;Bisakah memesan ruang diskusi online?;FAQ_12;FAQ question placeholder;generated paraphrase;
87;Cara booking ruang belajar kelompok?;FAQ_12;FAQ question placeholder;generated paraphrase;
88;Apakah tersedia ruang seminar kecil di perpustakaan?;FAQ_12;FAQ question placeholder;generated paraphrase;
89;Syarat menggunakan ruang diskusi apa saja?;FAQ_12;FAQ question placeholder;generated paraphrase;
90;Apakah ada biaya sewa ruang diskusi?;FAQ_12;FAQ question placeholder;generated paraphrase;
91;Apakah di perpustakaan ada layanan fotokopi?;FAQ_13;FAQ question placeholder;generated paraphrase;
92;Bisa cetak tugas di perpustakaan gak?;FAQ_13;FAQ question placeholder;generated paraphrase;
93;Apakah tersedia layanan scan dokumen di perpustakaan?;FAQ_13;FAQ question placeholder;generated paraphrase;
94;Harga fotokopi di perpustakaan berapa per lembar?;FAQ_13;FAQ question placeholder;generated paraphrase;
95;Layanan cetak warna tersedia gak?;FAQ_13;FAQ question placeholder;generated paraphrase;
96;Bagaimana prosedur pinjam antar perpustakaan?;FAQ_14;FAQ question placeholder;generated paraphrase;
97;Apakah bisa pinjam buku dari universitas lain?;FAQ_14;FAQ question placeholder;generated paraphrase;
98;Syarat interlibrary loan apa saja?;FAQ_14;FAQ question placeholder;generated paraphrase;
99;Apakah interlibrary loan ada biayanya?;FAQ_14;FAQ question placeholder;generated paraphrase;
100;Berapa lama proses peminjaman antarperpustakaan?;FAQ_14;FAQ question placeholder;generated paraphrase;
